Comment,Designator,Footprint,LCSC, LCSC
"0.1uF","C1,C2","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","C49678"
"D","D2,D3","Diode_SMD:D_SOD-123F","","C64898"
"LED_red","D4,D1","digikey-footprints:0805","","C84256"
"Raspberry_Pi_2_3","J1","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical",""
"PWR_5V","J2","TerminalBlock_RND:TerminalBlock_RND_205-00045_1x02_P5.00mm_Horizontal",""
"rpi_extension_conn","J3","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical",""
"rpi_extension_5V_conn","J4","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical",""
"SolderJumper_2_Open","JP1","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm",""
"100R","R1,R2","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","C17408"
"470R","R3,R4","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","C17710"
"10K","R5","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","C17414"
"TXB0108PWR","U1,U2,U3,U4","digikey-footprints:TSSOP-20_W4.4mm","","C53406"
