Comment,Designator,Footprint,LCSC, LCSC, Category, DK_Datasheet_Link, DK_Detail_Page, Description, Digi-Key_PN, Family, MPN, Manufacturer, Status
"0.1uF","C1,C2","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","C49678","","","","","","","","",""
"D","D2,D1","Diode_SMD:D_SOD-123F","","C64898","","","","","","","","",""
"LED_red","D4,D3","digikey-footprints:0805","","C84256","","","","","","","","",""
"Raspberry_Pi_2_3","J1","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical",""
"Ext_EN","J2","Connector_Wire:SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm",""
"PWR_5V","J3","TerminalBlock_RND:TerminalBlock_RND_205-00045_1x02_P5.00mm_Horizontal",""
"rpi_extension_conn","J4","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical",""
"rpi_extension_5V_conn","J5","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical",""
"470R","R1","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","C17710","","","","","","","","",""
"100R","R2","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","C17408","","","","","","","","",""
"10K","R3","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","C17414","","","","","","","","",""
"TXB0108PWR","U1,U2,U3,U4","digikey-footprints:TSSOP-20_W4.4mm","","C53406","Integrated Circuits (ICs)","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftxb0108","/product-detail/en/texas-instruments/TXB0108PWR/296-21527-1-ND/1305700","IC TRNSLTR BIDIRECTIONAL 20TSSOP","296-21527-1-ND","Logic - Translators, Level Shifters","TXB0108PWR","Texas Instruments","Active"
