Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,47uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-36.4,-22.95,0,top
C2,47uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-21.05,-22.95,0,top
C3,47uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-5.075,-22.95,0,top
D1,LED_red,805,0.1,-25.375,180,top
D2,LED_red,805,0.1,-22.975,180,top
Q1,BC817,SOT-23,-36.525,-28.925,180,top
Q2,BC817,SOT-23,-0.5,-38.1,0,top
R1,200k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-36.4,-20.525,180,top
R2,470R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-55.1,-33.15,90,top
R3,470R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-51.6,-33.15,90,top
R4,470R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-39.4,-33.1,90,top
R5,470R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-42.85,-33.1,90,top
R6,470R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-46.35,-33.15,90,top
R7,470R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-55.1,-38.9,90,top
R8,470R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-51.6,-38.9,90,top
R9,470R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-46.35,-38.9,90,top
R10,470R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-42.85,-38.9,90,top
R11,470R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-39.4,-38.9,90,top
R12,470R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-5.125,-25.35,180,top
R13,470R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-0.5,-44.1,0,top
R14,100R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-36.5,-25.4,180,top
R15,470R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-0.5,-41.6,0,top
R16,100R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-21.025,-25.175,180,top
R17,100R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-21.05,-27.775,180,top
R18,200k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-21.05,-20.525,180,top
R19,470R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-36,-33.15,90,top
R20,470R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-32.5,-33.15,90,top
R21,470R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-23.45,-33.15,90,top
R22,470R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-27,-33.15,90,top
R23,470R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-19.95,-33.15,90,top
R24,470R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-36,-38.9,90,top
R25,470R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-32.5,-38.9,90,top
R26,470R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-27,-38.9,90,top
R27,470R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-23.45,-38.9,90,top
R28,470R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-19.95,-38.9,90,top
R29,200k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-5.075,-20.525,180,top
R30,470R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-16.5,-33.15,90,top
R31,470R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-12.1,-33.15,90,top
R32,470R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-4.75,-33.15,90,top
R33,470R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-8.4,-33.15,90,top
R34,470R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-16.5,-38.9,90,top
R35,470R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-12.1,-38.9,90,top
R36,470R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-8.4,-38.9,90,top
R37,470R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-4.75,-38.9,90,top
U1,GTL2010PW,TSSOP-24_4.4x7.8mm_P0.65mm,-43.7,-23.8,270,top
U2,GTL2010PW,TSSOP-24_4.4x7.8mm_P0.65mm,-28.7,-23.8,270,top
U3,GTL2010PW,TSSOP-24_4.4x7.8mm_P0.65mm,-13.7,-23.8,270,top
