Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-9.950000,-28.800000,180.000000,top
"C2","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-1.700000,-36.250000,270.000000,top
"D1","D","D_SOD-123F",-9.590000,-31.500000,0.000000,top
"D2","D","D_SOD-123F",-9.590000,-34.350000,0.000000,top
"D3","LED_red","0805",0.040000,-29.350000,0.000000,top
"D4","LED_red","0805",0.040000,-31.725000,0.000000,top
"R1","470R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",0.550000,-36.250000,270.000000,top
"R2","100R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",0.550000,-42.550000,270.000000,top
"R3","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-1.700000,-42.550000,270.000000,top
"U1","TXB0108PWR","TSSOP-20_W4.4mm",-44.200000,-23.300000,270.000000,top
"U2","TXB0108PWR","TSSOP-20_W4.4mm",-33.200000,-23.300000,270.000000,top
"U3","TXB0108PWR","TSSOP-20_W4.4mm",-22.700000,-23.300000,270.000000,top
"U4","TXB0108PWR","TSSOP-20_W4.4mm",-11.700000,-23.300000,270.000000,top
